isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
331597;2014;9;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.01771492222297122;1;0.2191165370365198;0
331597;2014;10;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.01771492222297122;1;0.2191165370365198;0
331597;2014;11;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025756964160901674;1;0.7988941952058752;0
331597;2014;12;0.0;0.0;0.0;0.0;0.0;10218.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.01771492222297122;1;0.2191165370365198;0
331597;2015;1;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0002839327934307523;1;0.13112741234123249;1
331597;2015;2;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;3;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;4;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;5;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;6;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;7;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;8;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;9;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;10;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;11;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2015;12;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;1;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;2;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;3;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;4;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;5;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;6;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;7;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0002839327934307523;1;0.13112741234123249;1
331597;2016;8;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;9;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
331597;2016;10;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0002839327934307523;1;0.13112741234123249;1
331597;2016;11;0.0;0.0;0.0;0.0;0.0;10877.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0107182812957195;1;0.4516789083061141;0
