isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;anomalo
305874;2015;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2015;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2016;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2017;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.07427175640186967;0
305874;2017;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.07427175640186967;0
305874;2017;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2381.5;0.0;0.0;0.0;1;0.07427175640186967;0
305874;2017;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;95.26;47.63;-1;-0.057648341353996324;1
305874;2017;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2017;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.14921812979815058;0
305874;2018;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.1340311493001512;0
305874;2018;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2429.13;0.0;0.0;0.0;1;0.1340311493001512;0
305874;2018;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2018;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.2177362307252037;0
305874;2019;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2502.0;0.0;0.0;0.0;1;0.23232154262987764;0
