isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;IF_label;IF_score;anomalo
297175;2010;11;0.0;4751.53;2375.77;1178.95;1665.33;0.0;0.0;0.0;1907.25;0.0;0.0;0.0;0.0;0.0;1;0.1139154975755362;0
297608;2010;11;1170.9;0.0;117.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1522381539571977;0
297091;2010;12;0.0;4251.8;1062.95;0.0;0.0;0.0;0.0;0.0;4251.8;0.0;0.0;0.0;0.0;0.0;1;0.13708266222273952;0
297175;2010;12;0.0;4751.53;2375.77;1178.95;1665.33;0.0;0.0;0.0;1907.25;0.0;0.0;0.0;0.0;0.0;1;0.1139154975755362;0
297608;2010;12;1170.9;0.0;117.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1522381539571977;0
297091;2011;1;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;1;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;1;1229.45;0.0;122.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0
297091;2011;2;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;2;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;2;1229.45;0.0;122.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0
297091;2011;3;0.0;4464.39;1116.1;0.0;0.0;0.0;0.0;0.0;4464.39;0.0;0.0;0.0;0.0;0.0;1;0.12169163675961497;0
297175;2011;3;0.0;4989.11;2494.56;1237.9;1748.6;0.0;0.0;0.0;2002.61;0.0;0.0;0.0;0.0;0.0;1;0.08534036113936772;0
297608;2011;3;1229.45;0.0;122.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0
