isn_vinculo;num_ano;num_mes;8;15;54;86;199;324;1232;1352;1367;1369;1404;IF_label;IF_score;anomalo
297565;2018;7;2425.7;242.57;0.0;381.12;0.0;0.0;0.0;60.99;0.0;0.0;0.0;1;0.018764572889889974;0
297565;2018;8;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.15024361726850072;0
297565;2018;9;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.15024361726850072;0
297565;2018;10;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.15024361726850072;0
297565;2018;11;2425.7;242.57;889.42;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.06832496315681724;0
297565;2018;12;2425.7;242.57;889.42;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.06832496315681724;0
297565;2019;1;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;53.37;0.0;0.0;0.0;1;0.0656816449377256;0
297565;2019;2;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;26.68;1;0.09923469041736083;0
297565;2019;3;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.17648266981062383;0
297565;2019;4;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.17648266981062383;0
297565;2019;5;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.17648266981062383;0
297565;2019;6;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.17648266981062383;0
297565;2019;7;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.17648266981062383;0
297565;2019;8;2425.7;242.57;0.0;0.0;0.0;0.0;0.0;80.05;0.0;0.0;0.0;1;0.17648266981062383;0
297565;2019;9;2546.99;254.7;0.0;667.09;0.0;0.0;0.0;104.06;0.0;0.0;0.0;-1;-0.01826557627316383;1
297565;2019;10;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;84.05;0.0;0.0;0.0;1;0.101625498082063;0
297565;2019;11;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;84.05;0.0;0.0;0.0;1;0.101625498082063;0
297565;2019;12;2546.99;254.7;933.9;0.0;0.0;0.0;0.0;84.05;0.0;0.0;0.0;1;0.006090548393820283;0
297565;2020;1;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;2;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;3;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;4;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;5;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;6;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;7;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;8;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;9;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;10;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;11;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2020;12;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2597810995414388;0
297565;2021;1;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20681545591327188;0
297565;2021;2;2546.99;254.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20681545591327188;0
297565;2021;3;2674.35;267.44;0.0;60.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15597306072396316;0
297565;2021;4;2674.35;267.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21667717548924803;0
297565;2021;5;2674.35;267.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21667717548924803;0
