isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
331355;2022;7;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;7;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;7;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;8;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;8;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;8;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;8;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;8;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;8;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;8;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;9;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;9;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;9;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;9;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;9;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;9;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;9;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;10;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;10;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;10;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;10;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;10;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;10;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;10;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;11;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;11;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;11;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;11;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;11;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;11;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;11;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2022;12;0.0;2060.4;1;0.14154232652155407;-1;-8.210712402600961e-05;1
312118;2022;12;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2022;12;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2022;12;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2022;12;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2022;12;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2022;12;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2023;1;0.0;2213.4;1;0.09601515588572407;-1;-0.0001630859616010838;1
312118;2023;1;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2023;1;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2023;1;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2023;1;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2023;1;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2023;1;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2023;2;0.0;2213.4;1;0.09601515588572407;-1;-0.0001630859616010838;1
312118;2023;2;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2023;2;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2023;2;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2023;2;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2023;2;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2023;2;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2023;3;0.0;2213.4;1;0.09601515588572407;-1;-0.0001630859616010838;1
312118;2023;3;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2023;3;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2023;3;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
331355;2023;3;0.0;5529.13;1;0.0027768667847555273;1;0.42284416871024;0
331390;2023;3;0.0;257.92;1;0.16209932095284735;1;0.31119833194225244;0
331430;2023;3;0.0;3763.57;1;0.04432037978015646;1;0.00021195329089351844;0
305879;2023;4;0.0;2213.4;1;0.09601515588572407;-1;-0.0001630859616010838;1
312118;2023;4;0.0;969.19;1;0.12273489113341102;1;0.4989722668524301;0
312125;2023;4;0.0;2542.77;1;0.11086827130080901;1;0.017232554623936025;0
320454;2023;4;0.0;422.32;1;0.17502602528582184;1;0.5247991834338919;0
